"מספר היטל סחר","כותרת","תיאור טובין בהיטל","שם קבוצת מדינות","מזהה קבוצת מדינות","תאריך סיום היטל סחר","תאריך התחלה","ספרת ביקורת","שם מדינה","סטאטוס היטל סחר","טבלת היטל סחר","סיווג","תאריך סיום חקירה","האם קבוצת מדינות","סוג ספר מכס","מזהה ספק","שם ספק","מזהה מדינה","תיאור טובין בהיטל"
"8222002","008222002","שקדים בקליפותיהם","","","2006-06-30T00:00:00+03:00","2005-11-18T00:00:00+02:00","7","","היטל","168","0802119000/7","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים_כל יצרן אחר","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","3","הונגריה","היטל","161","4805120000/3","","false","1","","","348",""
"8222002","008222002","שקדים בקליפותיהם","","","2006-12-31T00:00:00+02:00","2006-07-01T00:00:00+03:00","7","","היטל","50","0802119000/7","","false","1","","","",""
"8222002","008222002","שקדים בקליפותיהם","","","2007-09-30T00:00:00+02:00","2007-01-01T00:00:00+02:00","7","","היטל","102","0802119000/7","","false","1","","","",""
"8229007","008229007","שקדים בקליפותיהם","","","2002-09-30T00:00:00+02:00","2002-06-17T00:00:00+03:00","7","","היטל","24","0802119000/7","","false","1","","","",""
"48051304","048051304","מוצרי נייר חומים ממוחזרים","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","3","הממלכה המאוחדת","היטל","94","4805120000/3","","false","1","","","826",""
"8229007","008229007","שקדים בקליפותיהם","","","2003-03-30T00:00:00+02:00","2002-10-01T00:00:00+02:00","7","","היטל","41","0802119000/7","","false","1","","","",""
"8229007","008229007","שקדים בקליפותיהם","","","2003-09-30T00:00:00+02:00","2003-04-01T00:00:00+02:00","7","","היטל","85","0802119000/7","","false","1","","","",""
"8229007","008229007","שקדים בקליפותיהם","","","2003-12-31T00:00:00+02:00","2003-10-01T00:00:00+02:00","7","","היטל","152","0802119000/7","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים_כל יצרן אחר","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","3","הממלכה המאוחדת","היטל","161","4805120000/3","","false","1","","","826",""
"8229007","008229007","שקדים בקליפותיהם","","","2004-03-31T00:00:00+02:00","2004-01-01T00:00:00+02:00","7","","היטל","62","0802119000/7","","false","1","","","",""
"8229007","008229007","שקדים בקליפותיהם","","","2005-06-15T00:00:00+03:00","2004-10-01T00:00:00+02:00","7","","היטל","3","0802119000/7","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים_כל יצרן אחר","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","3","שבדיה","היטל","161","4805120000/3","","false","1","","","752",""
"8229007","008229007","שקדים בקליפותיהם","","","2006-12-31T00:00:00+02:00","2006-01-01T00:00:00+02:00","7","","היטל","86","0802119000/7","","false","1","","","",""
"15410004","הסכם ארה""ב","שמן לפתית למאכל או לתעשיית המזון","","","2018-12-31T00:00:00+02:00","2010-01-01T00:00:00+02:00","8","ארצות הברית","היטל","153","1514991100/8","","false","1","","","840",""
"8229007","008229007","שקדים בקליפותיהם","","","2007-09-30T00:00:00+02:00","2007-01-01T00:00:00+02:00","7","","היטל","25","0802119000/7","","false","1","","","",""
"40060006","040060006","סוליות מגומי מגופר בעלות תכונת קושי )SSENDRAH( של לפחות_______55 A EROHS","","","2015-03-21T00:00:00+02:00","2013-03-21T00:00:00+02:00","2","דרום אפריקה","היטל","11","4006100000/2","","false","1","","","710",""
"8229007","008229007","שקדים בקליפותיהם","","","2007-12-31T00:00:00+02:00","2007-10-01T00:00:00+02:00","7","","היטל","63","0802119000/7","","false","1","","","",""
"40060006","040060006","סוליות מגומי מגופר בעלות תכונת קושי )SSENDRAH( של לפחות55 A EROHS","","","2015-03-21T00:00:00+02:00","2013-03-21T00:00:00+02:00","4","דרום אפריקה","היטל","11","4006900000/4","","false","1","","","710",""
"8229007","008229007","שקדים בקליפותיהם","","","2008-12-31T00:00:00+02:00","2008-01-01T00:00:00+02:00","7","","היטל","42","0802119000/7","","false","1","","","",""
"40060006","040060006","סוליות מגומי מגופר בעלות תכונת קושי )SSENDRAH( של לפחות_______55 A EROHS","","","2015-03-21T00:00:00+02:00","2013-03-21T00:00:00+02:00","8","דרום אפריקה","היטל","11","4008290000/8","","false","1","","","710",""
"15410004","015410004","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","3","","היטל","80","1507000000/3","","false","1","","","",""
"40060006","040060006","סוליות מגומי מגופר בעלות תכונת קושי )SSENDRAH( של לפחות_______55 A EROHS","","","2015-03-21T00:00:00+02:00","2013-03-21T00:00:00+02:00","2","דרום אפריקה","היטל","11","4012900000/2","","false","1","","","710",""
"15410004","015410004","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","3","","היטל","43","1507000000/3","","false","1","","","",""
"15410004","015410004","שמן סויה, שמן חמניות ושמן לפתית","","","2005-08-18T00:00:00+03:00","2003-08-18T00:00:00+03:00","3","","היטל","169","1507000000/3","","false","1","","","",""
"273120006","273120006","קשתות פלדה ללא תפר מפלדת פחמן בקטרים שבין 3 אינץ' ועד שמונהעשר אינץ', הכלול בפרט המכס:_________0439.70.37ראה מק""ח 1540","","","2010-05-27T00:00:00+03:00","2008-05-28T00:00:00+03:00","3","הרפובליקה העממית של סין","היטל","34","7307934000/3","","false","1","","","156",""
"15410004","015410004","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","3","","היטל","80","1512000000/3","","false","1","","","",""
"273130005","273130005","קשתות פלדה עם תפר מפלדת פחמן בקטרים שבין 3 אינץ ועד 18 אינץ","","","","2009-06-18T00:00:00+03:00","3","הרפובליקה העממית של סין","ערבות זמנית בוטלה","131","7307934000/3","2010-01-09T00:00:00+02:00","false","1","","","156",""
"15410004","015410004","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","3","","היטל","43","1512000000/3","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים_כל יצרן אחר","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","5","ספרד","היטל","161","4805110000/5","","false","1","","","724",""
"15410004","015410004","שמן סויה, שמן חמניות ושמן לפתית","","","2005-08-18T00:00:00+03:00","2003-08-18T00:00:00+03:00","3","","היטל","169","1512000000/3","","false","1","","","",""
"15410004","015410004","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","9","","היטל","80","1514000000/9","","false","1","","","",""
"15410004","015410004","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","9","","היטל","43","1514000000/9","","false","1","","","",""
"48051304","048051304","מוצרי נייר חומים ממוחזרים","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","5","פולין","היטל","94","4805110000/5","","false","1","","","616",""
"15410004","015410004","שמן סויה, שמן חמניות ושמן לפתית","","","2005-08-18T00:00:00+03:00","2003-08-18T00:00:00+03:00","9","","היטל","169","1514000000/9","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","3","","היטל","4","1507000000/3","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","3","","היטל","51","1507000000/3","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים כל יצרן אחר","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","5","פולין","היטל","161","4805110000/5","","false","1","","","616",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2004-04-30T00:00:00+03:00","2003-08-18T00:00:00+03:00","3","","היטל","87","1507000000/3","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2006-12-31T00:00:00+02:00","2004-05-01T00:00:00+03:00","3","","היטל","136","1507000000/3","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2009-12-31T00:00:00+02:00","2007-01-01T00:00:00+02:00","3","","היטל","88","1507000000/3","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","3","","היטל","4","1512000000/3","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","3","","היטל","51","1512000000/3","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים כל יצרן אחר","","","","2010-01-01T00:00:00+02:00","5","בולגריה","ערבות זמנית בוטלה","58","4805110000/5","2011-04-26T00:00:00+03:00","false","1","","","100",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2004-04-30T00:00:00+03:00","2003-08-18T00:00:00+03:00","3","","היטל","87","1512000000/3","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2006-12-31T00:00:00+02:00","2004-05-01T00:00:00+03:00","3","","היטל","136","1512000000/3","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2009-12-31T00:00:00+02:00","2007-01-01T00:00:00+02:00","3","","היטל","88","1512000000/3","","false","1","","","",""
"48051304","048051304","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","5","בלגיה","ערבות זמנית בוטלה","127","4805110000/5","2011-04-26T00:00:00+03:00","false","1","","","56",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","9","","היטל","4","1514000000/9","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","9","","היטל","51","1514000000/9","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2004-04-30T00:00:00+03:00","2003-08-18T00:00:00+03:00","9","","היטל","87","1514000000/9","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים כל יצרן אחר","","","","2010-01-01T00:00:00+02:00","5","בלגיה","ערבות זמנית בוטלה","58","4805110000/5","2011-04-26T00:00:00+03:00","false","1","","","56",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2006-12-31T00:00:00+02:00","2004-05-01T00:00:00+03:00","9","","היטל","136","1514000000/9","","false","1","","","",""
"15420003","015420003","שמן סויה, שמן חמניות ושמן לפתית","","","2009-12-31T00:00:00+02:00","2007-01-01T00:00:00+02:00","9","","היטל","88","1514000000/9","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים כל יצרן אחר","","","","2010-01-01T00:00:00+02:00","5","דנמרק","ערבות זמנית בוטלה","58","4805110000/5","2011-04-26T00:00:00+03:00","false","1","","","208",""
"15430002","015430002","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","9","","היטל","137","1512111000/9","","false","1","","","",""
"15430002","015430002","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","9","","היטל","170","1512111000/9","","false","1","","","",""
"15430002","015430002","שמן סויה, שמן חמניות ושמן לפתית","","","2005-08-18T00:00:00+03:00","2003-08-18T00:00:00+03:00","9","","היטל","26","1512111000/9","","false","1","","","",""
"68071109","068071109","יריעות ביטומניות מושבחות_הפולימרים מסוג __SBS או PPA,בעוביים שונים, בגמר עליון מאגרגט )חצץ( בהיר )לבן( או מחולסיליקה","","","2010-12-05T00:00:00+02:00","2010-06-06T00:00:00+03:00","1","איטליה","היטל","47","6807100000/1","","false","1","","","380",""
"15430002","015430002","שמן סויה, שמן חמניות ושמן לפתית","","","2007-08-18T00:00:00+03:00","2005-08-24T00:00:00+03:00","9","","היטל","171","1512111000/9","","false","1","","","",""
"48051304","048051304","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","5","הולנד","ערבות זמנית בוטלה","127","4805110000/5","2011-04-26T00:00:00+03:00","false","1","","","528",""
"15440001","015440001","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","9","","היטל","138","1512192100/9","","false","1","","","",""
"15440001","015440001","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","9","","היטל","118","1512192100/9","","false","1","","","",""
"15440001","015440001","שמן סויה, שמן חמניות ושמן לפתית","","","2004-04-30T00:00:00+03:00","2003-08-18T00:00:00+03:00","9","","היטל","52","1512192100/9","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים_כל יצרן אחר","","","","2010-01-01T00:00:00+02:00","5","הולנד","ערבות זמנית בוטלה","58","4805110000/5","2011-04-26T00:00:00+03:00","false","1","","","528",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","3","","היטל","119","1507000000/3","","false","1","","","",""
"48051205","048051205","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","8","אסטוניה","ערבות זמנית בוטלה","111","4805190000/8","2011-04-26T00:00:00+03:00","false","1","2252277","HEINR.AUG.SCHOELLER SOHNE GMBH &CO.KG","233",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","3","","היטל","154","1507000000/3","","false","1","","","",""
"48051304","048051304","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","8","אסטוניה","ערבות זמנית בוטלה","127","4805190000/8","2011-04-26T00:00:00+03:00","false","1","","","233",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2005-08-18T00:00:00+03:00","2003-08-18T00:00:00+03:00","3","","היטל","5","1507000000/3","","false","1","","","",""
"48051403","048051403","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","8","אסטוניה","ערבות זמנית בוטלה","70","4805190000/8","2011-04-26T00:00:00+03:00","false","1","2024128","RACCOLTA,MOLNAR & GREINER GMBH","233",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2009-12-31T00:00:00+02:00","2005-08-23T00:00:00+03:00","3","","היטל","53","1507000000/3","","false","1","","","",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","3","","היטל","119","1512000000/3","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים כל יצרן אחר","","","","2010-01-01T00:00:00+02:00","8","אסטוניה","ערבות זמנית בוטלה","58","4805190000/8","2011-04-26T00:00:00+03:00","false","1","","","233",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","3","","היטל","154","1512000000/3","","false","1","","","",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2005-08-18T00:00:00+03:00","2003-08-18T00:00:00+03:00","3","","היטל","5","1512000000/3","","false","1","","","",""
"48051205","048051205","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","8","בולגריה","ערבות זמנית בוטלה","111","4805190000/8","2011-04-26T00:00:00+03:00","false","1","2252277","HEINR.AUG.SCHOELLER SOHNE GMBH &CO.KG","100",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2009-12-31T00:00:00+02:00","2005-08-23T00:00:00+03:00","3","","היטל","53","1512000000/3","","false","1","","","",""
"48051304","048051304","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","8","בולגריה","ערבות זמנית בוטלה","127","4805190000/8","2011-04-26T00:00:00+03:00","false","1","","","100",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","9","","היטל","119","1514000000/9","","false","1","","","",""
"48051403","048051403","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","8","בולגריה","ערבות זמנית בוטלה","70","4805190000/8","2011-04-26T00:00:00+03:00","false","1","2024128","RACCOLTA,MOLNAR & GREINER GMBH","100",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","9","","היטל","154","1514000000/9","","false","1","","","",""
"202510004","202510004","לוח .F.D.M מצופה נייר (לכה או מלמין), שעוביו אינו עולה על 5מ""מ","","","","2005-05-09T00:00:00+03:00","0","הרפובליקה העממית של סין","ערבות זמנית בוטלה","17","4411120000/0","2006-09-01T00:00:00+03:00","false","1","","","156",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2005-08-18T00:00:00+03:00","2003-08-18T00:00:00+03:00","9","","היטל","5","1514000000/9","","false","1","","","",""
"48051304","048051304","מוצרי נייר חומים ממוחזרים","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","8","ליטא","היטל","94","4805240000/8","","false","1","","","440",""
"15490006","015490006","שמן סויה, שמן חמניות ושמן לפתית","","","2009-12-31T00:00:00+02:00","2005-08-23T00:00:00+03:00","9","","היטל","53","1514000000/9","","false","1","","","",""
"48051205","048051205","מוצרי נייר חומים ממוחזרים","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","3","יוון","היטל","159","4805120000/3","","false","1","2252277","HEINR.AUG.SCHOELLER SOHNE GMBH &CO.KG","300",""
"15910003","015910003","תערובות שומנים או שמנים צימחיים ומאכל או לתעשיית הממזון","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","7","","היטל","27","1517902200/7","","false","1","","","",""
"15910003","015910003","תערובות שומנים או שמנים צימחיים ומאכל או לתעשיית הממזון","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","7","","היטל","54","1517902200/7","","false","1","","","",""
"48051304","048051304","מוצרי נייר חומים ממוחזרים","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","5","פורטוגל","היטל","94","4805110000/5","","false","1","","","620",""
"15910003","015910003","תערובות שומנים או שמנים צימחיים ומאכל או לתעשיית הממזון","","","2005-08-18T00:00:00+03:00","2003-08-18T00:00:00+03:00","7","","היטל","120","1517902200/7","","false","1","","","",""
"15910003","015910003","תערובות שומנים או שמנים צימחיים ומאכל או לתעשיית הממזון","","","2007-08-18T00:00:00+03:00","2005-08-24T00:00:00+03:00","7","","היטל","173","1517902200/7","","false","1","","","",""
"15990005","015990005","תערובות שומנים או שמנים צימחיים ומאכל או לתעשיית הממזון","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","7","","היטל","174","1517902200/7","","false","1","","","",""
"48051502","048051502","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","8","בולגריה","ערבות זמנית בוטלה","160","4805190000/8","2011-04-26T00:00:00+03:00","false","1","2072630","INTERNATIONAL PAPER CONSULTING GMBH (IPC-GERMANY)","100",""
"15990005","015990005","תערובות שומנים או שמנים צימחיים ומאכל או לתעשיית הממזון","","","2003-07-31T00:00:00+03:00","2003-06-09T00:00:00+03:00","7","","היטל","139","1517902200/7","","false","1","","","",""
"15990005","015990005","תערובות שומנים או שמנים צימחיים ומאכל או לתעשיית הממזון","","","2005-08-18T00:00:00+03:00","2003-08-18T00:00:00+03:00","7","","היטל","89","1517902200/7","","false","1","","","",""
"48051502","048051502","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","5","לוקסמבורג","ערבות זמנית בוטלה","160","4805250000/5","2011-04-26T00:00:00+03:00","false","1","2072630","INTERNATIONAL PAPER CONSULTING GMBH (IPC-GERMANY)","442",""
"15990005","015990005","תערובות שומנים או שמנים צימחיים ומאכל או לתעשיית הממזון","","","2007-08-18T00:00:00+03:00","2005-08-24T00:00:00+03:00","7","","היטל","175","1517902200/7","","false","1","","","",""
"48051403","048051403","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","3","אוסטריה","ערבות זמנית בוטלה","70","4805120000/3","2011-04-26T00:00:00+03:00","false","1","2024128","RACCOLTA,MOLNAR & GREINER GMBH","40",""
"22410005","022410005","יין מענבים טריים, לרבות יינות בתוספת כהל","","","2003-08-17T00:00:00+03:00","2002-01-01T00:00:00+02:00","4","","היטל","155","2204200000/4","","false","1","","","",""
"48051403","048051403","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","8","הולנד","ערבות זמנית בוטלה","70","4805240000/8","2011-04-26T00:00:00+03:00","false","1","2024128","RACCOLTA,MOLNAR & GREINER GMBH","528",""
"22490007","022490007","תירוש ענבים","","","2003-08-17T00:00:00+03:00","2002-01-01T00:00:00+02:00","3","","היטל","121","2204300000/3","","false","1","","","",""
"48051502","048051502","מוצרי נייר חומים ממוחזרים","","","","2010-01-01T00:00:00+02:00","8","ליטא","ערבות זמנית בוטלה","160","4805240000/8","2011-04-26T00:00:00+03:00","false","1","2072630","INTERNATIONAL PAPER CONSULTING GMBH (IPC-GERMANY)","440",""
"22500003","022500003","ורמוט ויין אחר מענבים טריים","","","2003-08-17T00:00:00+03:00","2002-01-01T00:00:00+02:00","3","","היטל","65","2205000000/3","","false","1","","","",""
"23310006","023310006","כוספה מסויה","","","2003-04-30T00:00:00+03:00","2002-05-26T00:00:00+03:00","4","","היטל","103","2304000000/4","","false","1","","","",""
"48051205","048051205","מוצרי נייר חומים ממוחזרים","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","5","אוסטריה","היטל","159","4805250000/5","","false","1","2252277","HEINR.AUG.SCHOELLER SOHNE GMBH &CO.KG","40",""
